Year,Category,Name,Value
2007,Watch,Hublot_Big_Bang,8700
2008,Watch,Hublot_Big_Bang,9000
2009,Watch,Hublot_Big_Bang,9500
2010,Watch,Hublot_Big_Bang,10000
2011,Watch,Hublot_Big_Bang,10400
2012,Watch,Hublot_Big_Bang,10800
2013,Watch,Hublot_Big_Bang,11400
2014,Watch,Hublot_Big_Bang,12000
2015,Watch,Hublot_Big_Bang,12500
2016,Watch,Hublot_Big_Bang,13200
2017,Watch,Hublot_Big_Bang,13200
2018,Watch,Hublot_Big_Bang,13600
2019,Watch,Hublot_Big_Bang,14000
2020,Watch,Hublot_Big_Bang,14500
2021,Watch,Hublot_Big_Bang,14800
2022,Watch,Hublot_Big_Bang,15100
2023,Watch,Hublot_Big_Bang,15700
2024,Watch,Hublot_Big_Bang,16900
2025,Watch,Hublot_Big_Bang,17800
2005,Watch,Zenith_El_Primero,4500
2006,Watch,Zenith_El_Primero,4700
2007,Watch,Zenith_El_Primero,4900
2008,Watch,Zenith_El_Primero,5200
2009,Watch,Zenith_El_Primero,5400
2010,Watch,Zenith_El_Primero,5400
2011,Watch,Zenith_El_Primero,5700
2012,Watch,Zenith_El_Primero,6000
2013,Watch,Zenith_El_Primero,6300
2014,Watch,Zenith_El_Primero,6700
2015,Watch,Zenith_El_Primero,6700
2016,Watch,Zenith_El_Primero,6700
2017,Watch,Zenith_El_Primero,6700
2018,Watch,Zenith_El_Primero,7100
2019,Watch,Zenith_El_Primero,7700
2020,Watch,Zenith_El_Primero,8400
2021,Watch,Zenith_El_Primero,9000
2022,Watch,Zenith_El_Primero,9500
2023,Watch,Zenith_El_Primero,10000
2024,Watch,Zenith_El_Primero,10400
2025,Watch,Zenith_El_Primero,11200
2012,Watch,Tudor_Black_Bay,3250
2013,Watch,Tudor_Black_Bay,3250
2014,Watch,Tudor_Black_Bay,3400
2015,Watch,Tudor_Black_Bay,3425
2016,Watch,Tudor_Black_Bay,3675
2017,Watch,Tudor_Black_Bay,3675
2018,Watch,Tudor_Black_Bay,3800
2019,Watch,Tudor_Black_Bay,3900
2020,Watch,Tudor_Black_Bay,3950
2021,Watch,Tudor_Black_Bay,3950
2022,Watch,Tudor_Black_Bay,4125
2023,Watch,Tudor_Black_Bay,4400
2024,Watch,Tudor_Black_Bay,4625
2025,Watch,Tudor_Black_Bay,4850
2010,Watch,Grand_Seiko_Snowflake,5500
2011,Watch,Grand_Seiko_Snowflake,5800
2012,Watch,Grand_Seiko_Snowflake,5800
2013,Watch,Grand_Seiko_Snowflake,5800
2014,Watch,Grand_Seiko_Snowflake,5800
2015,Watch,Grand_Seiko_Snowflake,5800
2016,Watch,Grand_Seiko_Snowflake,5800
2017,Watch,Grand_Seiko_Snowflake,5800
2018,Watch,Grand_Seiko_Snowflake,5800
2019,Watch,Grand_Seiko_Snowflake,5800
2020,Watch,Grand_Seiko_Snowflake,5800
2021,Watch,Grand_Seiko_Snowflake,5800
2022,Watch,Grand_Seiko_Snowflake,6000
2023,Watch,Grand_Seiko_Snowflake,6200
2024,Watch,Grand_Seiko_Snowflake,6200
2025,Watch,Grand_Seiko_Snowflake,6500
2005,Watch,Seiko_5_Sports,125
2006,Watch,Seiko_5_Sports,130
2007,Watch,Seiko_5_Sports,135
2008,Watch,Seiko_5_Sports,140
2009,Watch,Seiko_5_Sports,150
2010,Watch,Seiko_5_Sports,150
2011,Watch,Seiko_5_Sports,160
2012,Watch,Seiko_5_Sports,175
2013,Watch,Seiko_5_Sports,180
2014,Watch,Seiko_5_Sports,185
2015,Watch,Seiko_5_Sports,195
2016,Watch,Seiko_5_Sports,210
2017,Watch,Seiko_5_Sports,220
2018,Watch,Seiko_5_Sports,225
2019,Watch,Seiko_5_Sports,275
2020,Watch,Seiko_5_Sports,295
2021,Watch,Seiko_5_Sports,310
2022,Watch,Seiko_5_Sports,325
2023,Watch,Seiko_5_Sports,350
2024,Watch,Seiko_5_Sports,375
2025,Watch,Seiko_5_Sports,395
2005,Watch,Seiko_Prospex,350
2006,Watch,Seiko_Prospex,375
2007,Watch,Seiko_Prospex,400
2008,Watch,Seiko_Prospex,400
2009,Watch,Seiko_Prospex,425
2010,Watch,Seiko_Prospex,425
2011,Watch,Seiko_Prospex,425
2012,Watch,Seiko_Prospex,450
2013,Watch,Seiko_Prospex,450
2014,Watch,Seiko_Prospex,475
2015,Watch,Seiko_Prospex,475
2016,Watch,Seiko_Prospex,525
2017,Watch,Seiko_Prospex,525
2018,Watch,Seiko_Prospex,525
2019,Watch,Seiko_Prospex,550
2020,Watch,Seiko_Prospex,575
2021,Watch,Seiko_Prospex,625
2022,Watch,Seiko_Prospex,650
2023,Watch,Seiko_Prospex,725
2024,Watch,Seiko_Prospex,750
2025,Watch,Seiko_Prospex,795
2021,Watch,Tissot_PRX,375
2022,Watch,Tissot_PRX,395
2023,Watch,Tissot_PRX,425
2024,Watch,Tissot_PRX,450
2025,Watch,Tissot_PRX,495
2005,Watch,Tissot_Le_Locle,395
2006,Watch,Tissot_Le_Locle,425
2007,Watch,Tissot_Le_Locle,450
2008,Watch,Tissot_Le_Locle,450
2009,Watch,Tissot_Le_Locle,475
2010,Watch,Tissot_Le_Locle,495
2011,Watch,Tissot_Le_Locle,525
2012,Watch,Tissot_Le_Locle,550
2013,Watch,Tissot_Le_Locle,550
2014,Watch,Tissot_Le_Locle,575
2015,Watch,Tissot_Le_Locle,595
2016,Watch,Tissot_Le_Locle,625
2017,Watch,Tissot_Le_Locle,650
2018,Watch,Tissot_Le_Locle,650
2019,Watch,Tissot_Le_Locle,675
2020,Watch,Tissot_Le_Locle,695
2021,Watch,Tissot_Le_Locle,725
2022,Watch,Tissot_Le_Locle,750
2023,Watch,Tissot_Le_Locle,795
2024,Watch,Tissot_Le_Locle,825
2025,Watch,Tissot_Le_Locle,875
2005,Watch,Hamilton_Khaki_Field,295
2006,Watch,Hamilton_Khaki_Field,325
2007,Watch,Hamilton_Khaki_Field,345
2008,Watch,Hamilton_Khaki_Field,375
2009,Watch,Hamilton_Khaki_Field,395
2010,Watch,Hamilton_Khaki_Field,395
2011,Watch,Hamilton_Khaki_Field,425
2012,Watch,Hamilton_Khaki_Field,445
2013,Watch,Hamilton_Khaki_Field,475
2014,Watch,Hamilton_Khaki_Field,475
2015,Watch,Hamilton_Khaki_Field,495
2016,Watch,Hamilton_Khaki_Field,495
2017,Watch,Hamilton_Khaki_Field,525
2018,Watch,Hamilton_Khaki_Field,545
2019,Watch,Hamilton_Khaki_Field,575
2020,Watch,Hamilton_Khaki_Field,575
2021,Watch,Hamilton_Khaki_Field,595
2022,Watch,Hamilton_Khaki_Field,645
2023,Watch,Hamilton_Khaki_Field,725
2024,Watch,Hamilton_Khaki_Field,795
2025,Watch,Hamilton_Khaki_Field,845
2005,Watch,Casio_G_Shock,45
2006,Watch,Casio_G_Shock,45
2007,Watch,Casio_G_Shock,50
2008,Watch,Casio_G_Shock,50
2009,Watch,Casio_G_Shock,50
2010,Watch,Casio_G_Shock,55
2011,Watch,Casio_G_Shock,55
2012,Watch,Casio_G_Shock,60
2013,Watch,Casio_G_Shock,60
2014,Watch,Casio_G_Shock,65
2015,Watch,Casio_G_Shock,65
2016,Watch,Casio_G_Shock,70
2017,Watch,Casio_G_Shock,70
2018,Watch,Casio_G_Shock,75
2019,Watch,Casio_G_Shock,75
2020,Watch,Casio_G_Shock,80
2021,Watch,Casio_G_Shock,85
2022,Watch,Casio_G_Shock,90
2023,Watch,Casio_G_Shock,95
2024,Watch,Casio_G_Shock,100
2025,Watch,Casio_G_Shock,110
2007,Watch,Longines_HydroConquest,950
2008,Watch,Longines_HydroConquest,1050
2009,Watch,Longines_HydroConquest,1050
2010,Watch,Longines_HydroConquest,1100
2011,Watch,Longines_HydroConquest,1150
2012,Watch,Longines_HydroConquest,1200
2013,Watch,Longines_HydroConquest,1250
2014,Watch,Longines_HydroConquest,1275
2015,Watch,Longines_HydroConquest,1275
2016,Watch,Longines_HydroConquest,1275
2017,Watch,Longines_HydroConquest,1300
2018,Watch,Longines_HydroConquest,1500
2019,Watch,Longines_HydroConquest,1600
2020,Watch,Longines_HydroConquest,1600
2021,Watch,Longines_HydroConquest,1700
2022,Watch,Longines_HydroConquest,1775
2023,Watch,Longines_HydroConquest,1950
2024,Watch,Longines_HydroConquest,2000
2025,Watch,Longines_HydroConquest,2200
2005,Watch,Longines_Master_Collection,1550
2006,Watch,Longines_Master_Collection,1650
2007,Watch,Longines_Master_Collection,1750
2008,Watch,Longines_Master_Collection,1850
2009,Watch,Longines_Master_Collection,1850
2010,Watch,Longines_Master_Collection,1900
2011,Watch,Longines_Master_Collection,2000
2012,Watch,Longines_Master_Collection,2100
2013,Watch,Longines_Master_Collection,2100
2014,Watch,Longines_Master_Collection,2200
2015,Watch,Longines_Master_Collection,2300
2016,Watch,Longines_Master_Collection,2300
2017,Watch,Longines_Master_Collection,2300
2018,Watch,Longines_Master_Collection,2400
2019,Watch,Longines_Master_Collection,2450
2020,Watch,Longines_Master_Collection,2450
2021,Watch,Longines_Master_Collection,2550
2022,Watch,Longines_Master_Collection,2650
2023,Watch,Longines_Master_Collection,2800
2024,Watch,Longines_Master_Collection,3000
2025,Watch,Longines_Master_Collection,3200
2005,Watch,TAG_Heuer_Carrera,2200
2006,Watch,TAG_Heuer_Carrera,2400
2007,Watch,TAG_Heuer_Carrera,2600
2008,Watch,TAG_Heuer_Carrera,2800
2009,Watch,TAG_Heuer_Carrera,2800
2010,Watch,TAG_Heuer_Carrera,2900
2011,Watch,TAG_Heuer_Carrera,3100
2012,Watch,TAG_Heuer_Carrera,3200
2013,Watch,TAG_Heuer_Carrera,3200
2014,Watch,TAG_Heuer_Carrera,3400
2015,Watch,TAG_Heuer_Carrera,3500
2016,Watch,TAG_Heuer_Carrera,3500
2017,Watch,TAG_Heuer_Carrera,3600
2018,Watch,TAG_Heuer_Carrera,3600
2019,Watch,TAG_Heuer_Carrera,3700
2020,Watch,TAG_Heuer_Carrera,3700
2021,Watch,TAG_Heuer_Carrera,3900
2022,Watch,TAG_Heuer_Carrera,4100
2023,Watch,TAG_Heuer_Carrera,4300
2024,Watch,TAG_Heuer_Carrera,4600
2025,Watch,TAG_Heuer_Carrera,4900
2005,Watch,TAG_Heuer_Aquaracer,1450
2006,Watch,TAG_Heuer_Aquaracer,1550
2007,Watch,TAG_Heuer_Aquaracer,1650
2008,Watch,TAG_Heuer_Aquaracer,1750
2009,Watch,TAG_Heuer_Aquaracer,1750
2010,Watch,TAG_Heuer_Aquaracer,1850
2011,Watch,TAG_Heuer_Aquaracer,2000
2012,Watch,TAG_Heuer_Aquaracer,2100
2013,Watch,TAG_Heuer_Aquaracer,2200
2014,Watch,TAG_Heuer_Aquaracer,2300
2015,Watch,TAG_Heuer_Aquaracer,2400
2016,Watch,TAG_Heuer_Aquaracer,2400
2017,Watch,TAG_Heuer_Aquaracer,2500
2018,Watch,TAG_Heuer_Aquaracer,2600
2019,Watch,TAG_Heuer_Aquaracer,2700
2020,Watch,TAG_Heuer_Aquaracer,2800
2021,Watch,TAG_Heuer_Aquaracer,3000
2022,Watch,TAG_Heuer_Aquaracer,3200
2023,Watch,TAG_Heuer_Aquaracer,3400
2024,Watch,TAG_Heuer_Aquaracer,3600
2025,Watch,TAG_Heuer_Aquaracer,3800
2011,Watch,Oris_Aquis,1450
2012,Watch,Oris_Aquis,1550
2013,Watch,Oris_Aquis,1650
2014,Watch,Oris_Aquis,1750
2015,Watch,Oris_Aquis,1850
2016,Watch,Oris_Aquis,1950
2017,Watch,Oris_Aquis,1950
2018,Watch,Oris_Aquis,2100
2019,Watch,Oris_Aquis,2200
2020,Watch,Oris_Aquis,2200
2021,Watch,Oris_Aquis,2300
2022,Watch,Oris_Aquis,2450
2023,Watch,Oris_Aquis,2600
2024,Watch,Oris_Aquis,2800
2025,Watch,Oris_Aquis,2950
2005,Watch,Nomos_Tangente,1100
2006,Watch,Nomos_Tangente,1200
2007,Watch,Nomos_Tangente,1300
2008,Watch,Nomos_Tangente,1400
2009,Watch,Nomos_Tangente,1500
2010,Watch,Nomos_Tangente,1600
2011,Watch,Nomos_Tangente,1650
2012,Watch,Nomos_Tangente,1750
2013,Watch,Nomos_Tangente,1850
2014,Watch,Nomos_Tangente,1900
2015,Watch,Nomos_Tangente,1900
2016,Watch,Nomos_Tangente,2000
2017,Watch,Nomos_Tangente,2050
2018,Watch,Nomos_Tangente,2100
2019,Watch,Nomos_Tangente,2150
2020,Watch,Nomos_Tangente,2150
2021,Watch,Nomos_Tangente,2200
2022,Watch,Nomos_Tangente,2300
2023,Watch,Nomos_Tangente,2400
2024,Watch,Nomos_Tangente,2500
2025,Watch,Nomos_Tangente,2650
2005,Watch,Breitling_Superocean,2200
2006,Watch,Breitling_Superocean,2400
2007,Watch,Breitling_Superocean,2600
2008,Watch,Breitling_Superocean,2850
2009,Watch,Breitling_Superocean,3000
2010,Watch,Breitling_Superocean,3000
2011,Watch,Breitling_Superocean,3300
2012,Watch,Breitling_Superocean,3450
2013,Watch,Breitling_Superocean,3450
2014,Watch,Breitling_Superocean,3450
2015,Watch,Breitling_Superocean,3600
2016,Watch,Breitling_Superocean,3800
2017,Watch,Breitling_Superocean,4000
2018,Watch,Breitling_Superocean,4200
2019,Watch,Breitling_Superocean,4300
2020,Watch,Breitling_Superocean,4300
2021,Watch,Breitling_Superocean,4500
2022,Watch,Breitling_Superocean,4700
2023,Watch,Breitling_Superocean,5000
2024,Watch,Breitling_Superocean,5250
2025,Watch,Breitling_Superocean,5500
2005,Watch,TAG_Heuer_Monaco,3200
2006,Watch,TAG_Heuer_Monaco,3500
2007,Watch,TAG_Heuer_Monaco,3800
2008,Watch,TAG_Heuer_Monaco,4100
2009,Watch,TAG_Heuer_Monaco,4100
2010,Watch,TAG_Heuer_Monaco,4300
2011,Watch,TAG_Heuer_Monaco,4500
2012,Watch,TAG_Heuer_Monaco,4500
2013,Watch,TAG_Heuer_Monaco,4800
2014,Watch,TAG_Heuer_Monaco,5200
2015,Watch,TAG_Heuer_Monaco,5200
2016,Watch,TAG_Heuer_Monaco,5500
2017,Watch,TAG_Heuer_Monaco,5500
2018,Watch,TAG_Heuer_Monaco,5900
2019,Watch,TAG_Heuer_Monaco,6100
2020,Watch,TAG_Heuer_Monaco,6350
2021,Watch,TAG_Heuer_Monaco,6700
2022,Watch,TAG_Heuer_Monaco,7000
2023,Watch,TAG_Heuer_Monaco,7500
2024,Watch,TAG_Heuer_Monaco,7800
2025,Watch,TAG_Heuer_Monaco,8200
2012,Watch,Tudor_Pelagos,3950
2013,Watch,Tudor_Pelagos,4125
2014,Watch,Tudor_Pelagos,4125
2015,Watch,Tudor_Pelagos,4400
2016,Watch,Tudor_Pelagos,4400
2017,Watch,Tudor_Pelagos,4400
2018,Watch,Tudor_Pelagos,4400
2019,Watch,Tudor_Pelagos,4575
2020,Watch,Tudor_Pelagos,4575
2021,Watch,Tudor_Pelagos,4575
2022,Watch,Tudor_Pelagos,4725
2023,Watch,Tudor_Pelagos,4950
2024,Watch,Tudor_Pelagos,5100
2025,Watch,Tudor_Pelagos,5350
